San Diego,USW00023188,32.724863,-117.188875,
Boston,USW00014739,42.347535,-71.031195,
Ireland,EIM00003967,53.1424,-7.6921,
Tokyo,JA000047662,35.6762,139.6503,
Shanghai,CHM00058362,31.2304,121.4737,
Berlin,GME00121150,52.52,13.405,
Seoul,KS000047112,37.5665,126.978,
Kiev,UPM00033587,50.4501,30.5234,
Mexico City,MXM00076680,19.4326,-99.1332,
Sydney,ASN00066037,-33.8688,151.2093,
Rio de Janeiro,BR002549075,-22.9068,-43.1729,
Toronto,CA006158355,43.6532,-79.3832,
